config,model,id,source,correct,steps,tool_calls,cost,seconds,answer,gold
поиск + страница v2,gpt-4o-mini,fresh-5,fresh,True,2,1,0.00018075,26.8,2 people,two people
поиск + страница v2,gpt-4o-mini,fresh-3,fresh,True,3,2,0.0003057,42.9,strategic partnership agreement in the defense and energy se,a strategic partnership agreement
поиск + страница v2,gpt-4o-mini,fresh-2,fresh,True,3,2,0.0004518,43.9,Miguel Díaz-Canel,Miguel Díaz-Canel
поиск + страница v2,gpt-4o-mini,fresh-0,fresh,True,3,2,0.0004371,44.6,15 March 2026,15 March
поиск + страница v2,gpt-4o-mini,fresh-6,fresh,False,2,1,0.00019965,30.1,519 missing people,"4,500"
поиск + страница v2,gpt-4o-mini,fresh-1,fresh,True,3,2,0.000366,57.9,22 March,22 March
поиск + страница v2,gpt-4o-mini,fresh-4,fresh,True,4,3,0.0005733,58.8,total fire ban,A total fire ban
поиск + страница v2,gpt-4o-mini,fresh-9,fresh,True,2,1,0.0001761,39.8,"New Delhi, India",New Delhi
поиск + страница v2,gpt-4o-mini,fresh-7,fresh,True,3,2,0.00032085,50.4,Deniz Göktaş,Deniz Göktaş
поиск + страница v2,gpt-4o-mini,fresh-11,fresh,True,3,2,0.0003066,39.6,Helter Skelter: Arthur Jafa and Richard Prince,Helter Skelter
поиск + страница v2,gpt-4o-mini,fresh-8,fresh,True,4,3,0.000456,63.1,Pavel Durov,Pavel Durov
поиск + страница v2,gpt-4o-mini,fresh-12,fresh,True,4,3,0.000483,63.6,700000 children,"700,000"
поиск + страница v2,gpt-4o-mini,fresh-15,fresh,True,3,2,0.000303,41.8,Oleksandr Syrskyi,Oleksandr Syrskyi
поиск + страница v2,gpt-4o-mini,fresh-17,fresh,True,3,2,0.00043695,40.1,EOS-05,EOS-05
поиск + страница v2,gpt-4o-mini,fresh-13,fresh,False,9,7,0.00256005,144.0,40.0.,41.5 °C
поиск + страница v2,gpt-4o-mini,fresh-14,fresh,False,7,6,0.00110925,158.6,unknown,Ciudad Rodrigo
поиск + страница v2,gpt-4o-mini,fresh-10,fresh,False,3,2,0.00030345000000000003,26.0,0 people,Twelve
поиск + страница v2,gpt-4o-mini,fresh-16,fresh,False,4,3,0.00060795,34.9,unknown team,Montreal Victoire
поиск + страница v2,gpt-4o-mini,fresh-18,fresh,False,9,7,0.0022720500000000003,193.1,19 November 2023,13 July
поиск + страница v2,gpt-4o-mini,fresh-19,fresh,False,9,7,0.00207225,202.1,Disney Television Animation,Disney Kids & Family
поиск + страница v2,gpt-4o-mini,fresh-20,fresh,True,3,2,0.00039465,68.5,single-elimination format,single-elimination
поиск + страница v2,gpt-4o-mini,fresh-21,fresh,True,4,3,0.000396,137.9,Gavin Snider,Gavin Snider
поиск + страница v2,gpt-4o-mini,fresh-22,fresh,True,3,2,0.00037319999999999996,67.7,Clara and the Below,Clara and the Below
поиск + страница v2,gpt-4o-mini,fresh-23,fresh,True,3,2,0.00035130000000000003,25.3,German Galushchenko,German Galushchenko
поиск + страница v2,gpt-4o-mini,fresh-24,fresh,True,3,2,0.0003366,26.0,drought across the whole of Wales,a drought
поиск + страница v2,gpt-4o-mini,fresh-25,fresh,True,3,2,0.00034305,31.5,open war,"""open war"""
поиск + страница v2,gpt-4o-mini,fresh-26,fresh,True,3,2,0.0003471,25.7,9 people,nine
поиск + страница v2,gpt-4o-mini,fresh-27,fresh,False,6,5,0.001203,51.4,неизвестно,Markus Hinterhäuser
поиск + страница v2,gpt-4o-mini,fresh-28,fresh,True,3,2,0.00038265,26.7,9 people,nine
поиск + страница v2,gpt-4o-mini,fresh-29,fresh,False,3,2,0.00036525,25.2,46 people,43
поиск + страница v2,gpt-4o-mini,fresh-30,fresh,True,3,2,0.00035745000000000004,25.1,Ankara,Ankara
поиск + страница v2,gpt-4o-mini,fresh-31,fresh,False,3,2,0.0004416,25.9,Oljas Bektenov,Aibek Dädebai
поиск + страница v2,gpt-4o-mini,fresh-32,fresh,True,3,2,0.0003261,25.7,Richard Lewer for his portrait of Iluwanti Ken,Richard Lewer
поиск + страница v2,gpt-4o-mini,fresh-33,fresh,False,9,7,0.0021105,160.7,unknown,Marilyn Gladu
поиск + страница v2,gpt-4o-mini,fresh-34,fresh,True,3,2,0.00031755,26.2,6.3,6.3
поиск + страница v2,gpt-4o-mini,fresh-35,fresh,True,3,2,0.0003732,25.8,Dina Levačić,Dina Levačić
поиск + страница v2,gpt-4o-mini,fresh-36,fresh,False,3,2,0.00035234999999999997,25.7,136 people,129
поиск + страница v2,gpt-4o-mini,fresh-37,fresh,True,3,2,0.000345,25.6,15 June,15 June
поиск + страница v2,gpt-4o-mini,fresh-38,fresh,True,3,2,0.00039674999999999997,25.7,Chief Minister,Chief Minister
поиск + страница v2,gpt-4o-mini,fresh-39,fresh,False,2,1,0.0002022,17.0,"Adamuz, Córdoba",Gelida
